adduser	3.118ubuntu5
libssl3	3.0.2-0ubuntu1.25
libssl-dev	3.0.2-0ubuntu1.25
libstdc++-11-dev	11.4.0-1ubuntu1~22.04.3
libstdc++-11-dev-arm64-cross	11.4.0-1ubuntu1~22.04.3cross1
libstdc++-11-dev-armhf-cross	11.4.0-1ubuntu1~22.04.3cross1
libstdc++6	12.3.0-1ubuntu1~22.04.3
libstdc++6	12.3.0-1ubuntu1~22.04.3
libstdc++6-arm64-cross	12.3.0-1ubuntu1~22.04.3cross1
libstdc++6-armhf-cross	12.3.0-1ubuntu1~22.04.3cross1
libsystemd0	249.11-0ubuntu3.21
libsystemd0	249.11-0ubuntu3.21
libtasn1-6	4.18.0-4ubuntu0.2
libtasn1-6	4.18.0-4ubuntu0.2
libtasn1-6-dev	4.18.0-4ubuntu0.2
libtasn1-doc	4.18.0-4ubuntu0.2
libtdb1	1.4.5-2build1
libtext-unidecode-perl	1.30-1
libthai0	0.1.29-1build1
libthai0	0.1.29-1build1
libthai-data	0.1.29-1build1
libtiff5	4.3.0-6ubuntu0.13
libtiff5	4.3.0-6ubuntu0.13
libtimedate-perl	2.3300-2
libtinfo5	6.3-2ubuntu0.2
libtinfo6	6.3-2ubuntu0.2
libtirpc3	1.3.2-2ubuntu0.1
libtirpc3	1.3.2-2ubuntu0.1
libtirpc-common	1.3.2-2ubuntu0.1
libtirpc-dev	1.3.2-2ubuntu0.1
libtry-tiny-perl	0.31-1
libtsan0	11.4.0-1ubuntu1~22.04.3
libtsan0-arm64-cross	11.4.0-1ubuntu1~22.04.3cross1
libubsan1	12.3.0-1ubuntu1~22.04.3
libubsan1-arm64-cross	12.3.0-1ubuntu1~22.04.3cross1
libubsan1-armhf-cross	12.3.0-1ubuntu1~22.04.3cross1
libudev1	249.11-0ubuntu3.12
libunbound8	1.13.1-1ubuntu5.15
libunistring2	1.0-1
libunistring2	1.0-1
liburi-perl	5.10-1
libutempter0	1.2.1-2build2
libuuid1	2.37.2-4ubuntu3.5
libuuid1	2.37.2-4ubuntu3.5
libvorbis0a	1.3.7-1build2
libvorbis0a	1.3.7-1build2
libvorbisenc2	1.3.7-1build2
libvorbisfile3	1.3.7-1build2
libwebp7	1.2.2-2ubuntu0.22.04.2
libwebp7	1.2.2-2ubuntu0.22.04.2
libwrap0	7.6.q-31build2
libwww-perl	6.61-1ubuntu0.1
libwww-robotrules-perl	6.02-1
libx11-6	2:1.7.5-1ubuntu0.3
libx11-6	2:1.7.5-1ubuntu0.3
libx11-data	2:1.7.5-1ubuntu0.3
libx11-dev	2:1.7.5-1ubuntu0.3
libx11-xcb1	2:1.7.5-1ubuntu0.3
libxau6	1:1.0.9-1build5
libxau6	1:1.0.9-1build5
libxau-dev	1:1.0.9-1build5
libxaw7	2:1.0.14-1
libxcb1	1.14-3ubuntu3
libxcb1	1.14-3ubuntu3
libxcb1-dev	1.14-3ubuntu3
libxcb-dri2-0	1.14-3ubuntu3
libxcb-dri3-0	1.14-3ubuntu3
libxcb-glx0	1.14-3ubuntu3
libxcb-present0	1.14-3ubuntu3
libxcb-randr0	1.14-3ubuntu3
libxcb-render0	1.14-3ubuntu3
libxcb-render0	1.14-3ubuntu3
libxcb-shape0	1.14-3ubuntu3
libxcb-shm0	1.14-3ubuntu3
libxcb-shm0	1.14-3ubuntu3
libxcb-sync1	1.14-3ubuntu3
libxcb-xfixes0	1.14-3ubuntu3
libxcomposite1	1:0.4.5-1build2
libxcomposite1	1:0.4.5-1build2
libxcursor1	1:1.2.0-2build4
libxcursor1	1:1.2.0-2build4
libxdamage1	1:1.1.5-2build2
libxdamage1	1:1.1.5-2build2
libxdmcp6	1:1.1.3-0ubuntu5
libxdmcp6	1:1.1.3-0ubuntu5
libxdmcp-dev	1:1.1.3-0ubuntu5
libxext6	2:1.3.4-1build1
libxext6	2:1.3.4-1build1
libxext-dev	2:1.3.4-1build1
libxfixes3	1:6.0.0-1
libxfixes3	1:6.0.0-1
libxft2	2.3.4-1
libxi6	2:1.8-1build1
libxi6	2:1.8-1build1
libxinerama1	2:1.1.4-3
libxinerama1	2:1.1.4-3
libxkbfile1	1:1.1.0-1build3
libxml2	2.9.13+dfsg-1ubuntu0.12
libxml2	2.9.13+dfsg-1ubuntu0.12
libxml-libxml-perl	2.0207+dfsg+really+2.0134-1
libxml-namespacesupport-perl	1.12-1.1
libxml-parser-perl	2.46-3ubuntu0.1
libxml-sax-base-perl	1.09-1.1
libxml-sax-expat-perl	0.51-1
libxml-sax-perl	1.02+dfsg-3
libxml-simple-perl	2.25-1
libxmu6	2:1.1.3-3
libxmuu1	2:1.1.3-3
